id,text,amount,filename,page,line_num
1,งานอํานวยการและบริหารสํานักงานเขต 10350780 บาท,10350780,65026.pdf,22,2
2,1. งบบุคลากร 5716350 บาท,5716350,65026.pdf,22,3
3,1.1 เงินเดือน 3648750 บาท,3648750,65026.pdf,22,4
4,01101-2 อัตราเดิม 10 อัตรา 3178850 บาท,3178850,65026.pdf,22,5
5,01102-1 เงินเลื่อนขั้น 190750 บาท,190750,65026.pdf,22,6
6,01106-1 เงินประจําตําแหน่ง 127200 บาท,127200,65026.pdf,22,7
7,01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 148200 บาท,148200,65026.pdf,22,8
8,01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 2900 บาท,2900,65026.pdf,22,9
9,01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 850 บาท,850,65026.pdf,22,10
10,1.2 ค่าจ้างประจํา 1706650 บาท,1706650,65026.pdf,22,11
11,01201-1 อัตราเดิม 9 อัตรา 1584700 บาท,1584700,65026.pdf,22,12
12,01202-1 เงินเพิ่มค่าจ้างประจํา 72400 บาท,72400,65026.pdf,22,13
13,01205-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างประจํา 33050 บาท,33050,65026.pdf,22,14
14,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 16500 บาท,16500,65026.pdf,22,15
15,1.3 ค่าจ้างชั่วคราว 312000 บาท,312000,65026.pdf,22,16
16,02101-1 ค่าจ้างชั่วคราว 3 อัตรา 231600 บาท,231600,65026.pdf,22,17
17,02102-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างชั่วคราว 28400 บาท,28400,65026.pdf,22,18
18,02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 52000 บาท,52000,65026.pdf,22,19
19,1.4 ค่าตอบแทน ใช้สอยและวัสดุ 48950 บาท,48950,65026.pdf,22,20
20,03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 15150 บาท,15150,65026.pdf,22,21
21,03217-1 เงินสมทบกองทุนประกันสังคม 15600 บาท,15600,65026.pdf,22,22
22,03611-1 ค่าเครื่องแต่งกาย 18200 บาท,18200,65026.pdf,22,23
23,2. งบดําเนินงาน 4492110 บาท,4492110,65026.pdf,22,24
24,2.1 ค่าตอบแทน ใช้สอยและวัสดุ 2917960 บาท,2917960,65026.pdf,22,25
25,2.1.1 ค่าตอบแทน 345960 บาท,345960,65026.pdf,22,26
26,2.1.2 ค่าใช้สอย 1718500 บาท,1718500,65026.pdf,22,28
27,2.1.3 ค่าวัสดุ 853500 บาท,853500,65026.pdf,23,1
28,2.2 ค่าสาธารณูปโภค 1574150 บาท,1574150,65026.pdf,23,6
29,3. งบลงทุน 142320 บาท,142320,65026.pdf,23,10
30,"05101-3 (1) เครื่องปรับอากาศ แบบแยกส่วน (ราคารวมค่าติดตั้ง) แบบติดผนัง ขนาด 18,000 บีทียู 1 เครื่อง 22600 บาท",22600,65026.pdf,23,13
31,05105-2 (2) เครื่องคอมพิวเตอร์ สําหรับงานสํานักงาน (จอแสดงภาพขนาดไม่น้อยกว่า 19 นิ้ว) พร้อมโปรแกรมระบบปฏิบัติการ (OS) แบบ GGWA ที่มีลิขสิทธิ์ถูกต้องตามกฎหมาย 2 เครื่อง 51020 บาท,51020,65026.pdf,23,15
32,05109-11 (3) ตู้เหล็ก แบบ 4 ลิ้นชัก 3 ตู้ 20700 บาท,20700,65026.pdf,23,20
33,05198-4 (4) ตู้เหล็ก บานเลื่อน 6 ตู้ 19800 บาท,19800,65026.pdf,23,21
34,05198-6 (5) เก้าอี้โครงเหล็กบุนวม แบบมีพนักพิง 47 ตัว 28200 บาท,28200,65026.pdf,23,22
35,งานปกครอง 7768340 บาท,7768340,65026.pdf,24,1
36,1. งบบุคลากร 5698150 บาท,5698150,65026.pdf,24,2
37,1.1 เงินเดือน 3648750 บาท,3648750,65026.pdf,24,3
38,01101-2 อัตราเดิม 9 อัตรา 3178850 บาท,3178850,65026.pdf,24,4
39,01102-1 เงินเลื่อนขั้น 190750 บาท,190750,65026.pdf,24,5
40,01106-1 เงินประจําตําแหน่ง 127200 บาท,127200,65026.pdf,24,6
41,01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 148200 บาท,148200,65026.pdf,24,7
42,01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 2900 บาท,2900,65026.pdf,24,8
43,01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 850 บาท,850,65026.pdf,24,9
44,1.2 ค่าจ้างประจํา 1706650 บาท,1706650,65026.pdf,24,10
45,01201-1 อัตราเดิม 8 อัตรา 1584700 บาท,1584700,65026.pdf,24,11
46,01202-1 เงินเพิ่มค่าจ้างประจํา 72400 บาท,72400,65026.pdf,24,12
47,01205-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างประจํา 33050 บาท,33050,65026.pdf,24,13
48,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 16500 บาท,16500,65026.pdf,24,14
49,1.3 ค่าจ้างชั่วคราว 312000 บาท,312000,65026.pdf,24,15
50,02101-1 ค่าจ้างชั่วคราว 2 อัตรา 231600 บาท,231600,65026.pdf,24,16
51,02102-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างชั่วคราว 28400 บาท,28400,65026.pdf,24,17
52,02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 52000 บาท,52000,65026.pdf,24,18
53,1.4 ค่าตอบแทน ใช้สอยและวัสดุ 30750 บาท,30750,65026.pdf,24,19
54,03128-1 เงินตอบแทนพิเศษของลูกจ้างประจํา 15150 บาท,15150,65026.pdf,24,20
55,03217-1 เงินสมทบกองทุนประกันสังคม 15600 บาท,15600,65026.pdf,24,21
56,2. งบดําเนินงาน 1612590 บาท,1612590,65026.pdf,24,22
57,2.1 ค่าตอบแทน ใช้สอยและวัสดุ 38440 บาท,38440,65026.pdf,24,23
58,2.2 ค่าสาธารณูปโภค 1574150 บาท,1574150,65026.pdf,24,26
59,3. งบรายจ่ายอื่น 457600 บาท,457600,65026.pdf,25,1
60,07103-1 (1) ค่าใช้จ่ายในการฝึกอบรมอาสาสมัคร ป้องกันภัยฝ่ายพลเรือน (หลักสูตรหลัก) 64100 บาท,64100,65026.pdf,25,2
61,07103-2 (2) ค่าใช้จ่ายในการฝึกอบรมอาสาสมัคร ป้องกันภัยฝ่ายพลเรื่อน (หลักสูตรทบทวน) 41500 บาท,41500,65026.pdf,25,4
62,07110-1 3 ค่าใช้จ่ายเกี่ยวกับการสนับสนุนกิจการ อาสาสมัครป้องกันภัยฝ่ายพลเรือน 352000 บาท,352000,65026.pdf,25,6
63,งานบริหารทั่วไปและบริการทะเบียน 8162100 บาท,8162100,65026.pdf,26,1
64,1. งบบุคลากร 7201500 บาท,7201500,65026.pdf,26,2
65,1.1 เงินเดือน 7038200 บาท,7038200,65026.pdf,26,3
66,01101-1 อัตราเดิม 17 อัตรา 6587900 บาท,6587900,65026.pdf,26,4
67,01102-1 เงินเลื่อนขั้น 395300 บาท,395300,65026.pdf,26,5
68,01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 42000 บาท,42000,65026.pdf,26,6
69,01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 8000 บาท,8000,65026.pdf,26,7
70,01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 5000 บาท,5000,65026.pdf,26,8
71,1.2 ค่าจ้างประจํา 162000 บาท,162000,65026.pdf,26,9
72,01201-1 อัตราเดิม 1 อัตรา 116200 บาท,116200,65026.pdf,26,10
73,01202-1 เงินเพิ่มค่าจ้างประจํา 7000 บาท,7000,65026.pdf,26,11
74,01205-1 เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างประจํา 24000 บาท,24000,65026.pdf,26,12
75,01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 14800 บาท,14800,65026.pdf,26,13
76,1.3 ค่าตอบแทน ใช้สอยและวัสดุ 1300 บาท,1300,65026.pdf,26,14
77,03611-1 ค่าเครื่องแต่งกาย 1300 บาท,1300,65026.pdf,26,15
78,2. งบดําเนินงาน 895200 บาท,895200,65026.pdf,26,16
