,job,L1,L2,L3,amount
0,งาน: อํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 4,028,000 บาท","1.1 เงินเดือน 3,457,920 บาท","01101-1 อัตราเดิม 8 อัตรา 3,054,320 บาท","3,054,320"
1,งาน: อํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 4,028,000 บาท","1.1 เงินเดือน 3,457,920 บาท","01102-1 เงินเลื่อนขั้น 183,280 บาท","183,280"
2,งาน: อํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 4,028,000 บาท","1.1 เงินเดือน 3,457,920 บาท","01106-1 เงินประจําตําแหน่ง 101,760 บาท","101,760"
3,งาน: อํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 4,028,000 บาท","1.1 เงินเดือน 3,457,920 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 118,560 บาท","118,560"
4,งาน: อํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 4,028,000 บาท","1.2 ค่าจ้างประจํา 507,200 บาท","01201-1 อัตราเดิม 2 อัตรา 472,040 บาท","472,040"
5,งาน: อํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 4,028,000 บาท","1.2 ค่าจ้างประจํา 507,200 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 28,360 บาท","28,360"
6,งาน: อํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 4,028,000 บาท","1.2 ค่าจ้างประจํา 507,200 บาท","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 5,760 บาท","5,760"
7,งาน: อํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 4,028,000 บาท","1.2 ค่าจ้างประจํา 507,200 บาท","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 1,040 บาท","1,040"
8,งาน: อํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 4,028,000 บาท","1.3 ค่าจ้างชัวคราว 57,600 บาท","02101-1 ค่าจ้างชัวคราว 1 อัตรา 45,120 บาท","45,120"
9,งาน: อํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 4,028,000 บาท","1.3 ค่าจ้างชัวคราว 57,600 บาท","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 2,880 บาท","2,880"
10,งาน: อํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 4,028,000 บาท","1.3 ค่าจ้างชัวคราว 57,600 บาท","02103-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว 9,600 บาท","9,600"
11,งาน: อํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 4,028,000 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 5,280 บาท","03217-1 เงินสมทบกองทุนประกันสังคม 2,880 บาท","2,880"
12,งาน: อํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 4,028,000 บาท","1.4 ค่าตอบแทน ใช้สอยและวัสดุ 5,280 บาท","03611-1 ค่าเครื่องแต่งกาย 2,400 บาท","2,400"
13,งาน: อํานวยการและบริหารสํานักงานเขต,"2. งบดําเนินงาน 3,499,020 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 2,479,820 บาท","2.1.1 ค่าตอบแทน 154,960 บาท","154,960"
14,งาน: อํานวยการและบริหารสํานักงานเขต,"2. งบดําเนินงาน 3,499,020 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 2,479,820 บาท","2.1.2 ค่าใช้สอย 2,032,120 บาท","2,032,120"
15,งาน: อํานวยการและบริหารสํานักงานเขต,"2. งบดําเนินงาน 3,499,020 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 2,479,820 บาท","2.1.3 ค่าวัสดุ 292,740 บาท","292,740"
16,งาน: อํานวยการและบริหารสํานักงานเขต,"2. งบดําเนินงาน 3,499,020 บาท","2.2 ค่าสาธารณูปโภค 1,019,200 บาท",,"1,019,200"
17,งาน: อํานวยการและบริหารสํานักงานเขต,"3. งบลงทุน 2,866,940 บาท","3.1 ค่าครุภัณฑ์ 254,940 บาท","05105-7 (1) เครื่องคอมพิวเตอร์ สําหรับสํานักงาน (จอแสดงภาพขนาด ไม่น้อยกว่า 19 นิ้ว) พร้อมโปรแกรมระบบปฏิบัติการ (OS) แบบ GGWA ที่มีลิขสิทธ์ถูกตองตามกฎหมาย 4 เครี่อง 102,040 บาท","102,040"
18,งาน: อํานวยการและบริหารสํานักงานเขต,"3. งบลงทุน 2,866,940 บาท","3.1 ค่าครุภัณฑ์ 254,940 บาท","05147-4 (2) โต๊ะไม้บุโฟเมก้า 60 ตัว 144,000 บาท","144,000"
19,งาน: อํานวยการและบริหารสํานักงานเขต,"3. งบลงทุน 2,866,940 บาท","3.1 ค่าครุภัณฑ์ 254,940 บาท","05198-6 (3) เครื่องพิมพ์เลเซอร์ หรือ LED ขาวดํา ชนิด Network แบบที่ 1 (28 หน้า/นาที) 1 เครื่อง 8,900 บาท","8,900"
