filename	line_num	text	x	y	width	height
026.jpg	0	53	767	118	36	24
026.jpg	1	รายละเอียดงบประมาณจําแนกตามงบรายจ่าย	78	222	466	30
026.jpg	2	งาน: อํานวยการและบริหารสํานักงานเขต	78	279	420	31
026.jpg	2	10257960	1182	286	134	27
026.jpg	2	บาท	1326	289	56	20
026.jpg	3	1. งบบุคลากร	79	343	150	32
026.jpg	3	5,181,900	938	343	120	27
026.jpg	3	4	1078	346	56	20
026.jpg	4	1.1	87	396	41	24
026.jpg	4	เงินเดือน	129	390	98	30
026.jpg	4	3,469,720	938	395	120	27
026.jpg	4	4	1078	399	56	20
026.jpg	5	01101-1	137	448	97	24
026.jpg	5	อัตราเดิม 8 อัตรา	318	442	182	30
026.jpg	5	3065440	1201	454	115	27
026.jpg	5	บาท	1327	457	54	21
026.jpg	6	01102-1	137	506	97	24
026.jpg	6	เงินเลื่อนขั้น	320	493	126	37
026.jpg	6	183960	1222	512	94	27
026.jpg	6	บาท	1327	515	54	21
026.jpg	7	01106-1	137	564	97	24
026.jpg	7	เงินประจําตําแหน่ง	320	559	192	29
026.jpg	7	101760	1222	570	94	27
026.jpg	7	บาท	1327	573	54	21
026.jpg	8	01107-1	137	622	97	24
026.jpg	8	เงินค่าตอบแทนรายเดือนของข้าราชการ	320	616	391	30
026.jpg	8	118560	1222	628	94	27
026.jpg	8	บาท	1327	631	54	21
026.jpg	9	1.2 ค่าจ้างประจํา| |	79	674	210	36
026.jpg	9	1,214,040	939	685	119	27
026.jpg	9	4	1078	689	56	20
026.jpg	10	01201-1	129	737	97	24
026.jpg	10	อัตราเดิม 6 อัตรา	318	731	182	30
026.jpg	10	1144080	1203	744	113	27
026.jpg	10	บาท	1327	747	54	21
026.jpg	11	01202-1	129	796	97	24
026.jpg	11	เงินเพิ่มค่าจ้างประจํา	320	785	211	35
026.jpg	11	36200	1233	802	83	27
026.jpg	11	บาท	1327	805	54	21
026.jpg	12	01205-1	129	853	97	24
026.jpg	12	เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา	320	842	448	43
026.jpg	12	19200	1235	860	81	27
026.jpg	12	บาท	1327	863	54	21
026.jpg	13	01206-1	129	911	97	24
026.jpg	13	เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา	320	905	414	38
026.jpg	13	14560	1235	918	81	27
026.jpg	13	บาท	1327	921	54	21
026.jpg	14	1.3 ค่าจ้างชั่วคราว| |	79	964	225	36
026.jpg	14	460,800	958	974	100	27
026.jpg	14	4	1078	979	56	20
026.jpg	15	02101-1	129	1027	97	24
026.jpg	15	ค่าจ้างชั่วคราว 3 อัตรา	319	1016	231	35
026.jpg	15	340520	1220	1034	96	27
026.jpg	15	บาท	1327	1037	54	21
026.jpg	16	02102-1	129	1085	97	24
026.jpg	16	เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว	320	1074	459	43
026.jpg	16	43480	1233	1092	83	27
026.jpg	16	บาท	1327	1095	54	21
026.jpg	17	02103-1	129	1143	97	24
026.jpg	17	เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว	320	1132	425	43
026.jpg	17	76800	1233	1150	83	27
026.jpg	17	บาท	1327	1153	54	21
026.jpg	18	1.4 ค่าตอบแทน ใช้สอยและวัสดุ|	79	1196	359	44
026.jpg	18	37,340	972	1206	86	27
026.jpg	18	4	1078	1211	56	20
026.jpg	19	03217-1	129	1259	97	24
026.jpg	19	เงินสมทบกองทุนประกันสังคม	320	1253	299	38
026.jpg	19	23040	1233	1265	83	27
026.jpg	19	บาท	1327	1268	54	21
026.jpg	20	03611-1	129	1317	97	24
026.jpg	20	ค่าเครื่องแต่งกาย	319	1306	174	35
026.jpg	20	14300	1235	1323	81	27
026.jpg	20	บาท	1327	1326	54	21
026.jpg	21	2.งบดําเป็นงาน	78	1439	174	30
026.jpg	21	2,801,260	938	1445	120	27
026.jpg	21	4	1078	1448	56	20
026.jpg	22	2.1 ค่าตอบแทน ใช้สอยและวัสดุ	78	1490	334	39
026.jpg	22	1,362060	939	1496	119	27
026.jpg	22	4	1078	1500	56	20
026.jpg	23	2.1.1 ค่าตอบแทน	129	1550	193	29
026.jpg	23	156,160	959	1554	99	27
026.jpg	23	4	1078	1558	56	20
026.jpg	24	ค่าอาหารทําการนอกเวลา	207	1602	256	29
026.jpg	25	2.1.2 ค่าใช้สอย	129	1664	168	31
026.jpg	25	671,500	958	1670	100	27
026.jpg	25	4	1078	1674	56	20
026.jpg	26	ส่วนใหญ่เป็นค่าบํารุงรักษาซ่อมแซมเครื่องปรับอากาศ	207	1718	521	43
026.jpg	27	ค่าจ้างเหมาบริการเป็นรายบุคคล	207	1779	323	40
026.jpg	28	ค่ากําจัดปลวก ฯลฯ	207	1833	197	30
027.jpg	0	54	767	118	37	23
027.jpg	1	2.1.3 ค่าวัสดุ	129	215	143	39
027.jpg	1	534,400	958	221	100	27
027.jpg	1	4	1078	225	56	20
027.jpg	2	ส่วนใหญ่เป็นค่าวัสดุน้ามันเชื้อเพลิงและน้ามันหล่อลื่น	207	267	521	45
027.jpg	3	ค่าวัสดุสํานักงานประเภทเครื่องเขียน แบบพิมพ์	207	321	464	43
027.jpg	4	ค่าวัสดุอุปกรณ์คอมพิวเตอร์ ฯลฯ	207	384	324	38
027.jpg	5	2.2 ค่าสาธารณูปโภค|[ |	78	442	247	44
027.jpg	5	1,439,200	939	453	119	27
027.jpg	5	4	1078	457	56	20
027.jpg	6	ค่าไฟฟ้า ค่าน้าประปา	129	499	221	37
027.jpg	7	ค่าโทรศัพท์เคลื่อนที่	129	559	202	35
027.jpg	8	3. งบลงทุน	78	681	125	32
027.jpg	8	2,274,800	938	681	120	27
027.jpg	8	4	1078	684	56	20
027.jpg	9	ค่าครุภัณฑ์ ที่ดินและสิ่งก่อสร้าง	129	721	324	44
027.jpg	9	2,274,800	938	732	120	27
027.jpg	9	4	1078	736	56	20
027.jpg	10	3.1 ค่าครุภัณฑ์	129	784	162	39
027.jpg	10	125,800	959	790	99	27
027.jpg	10	4	1078	794	56	20
027.jpg	11	05198-1	129	843	97	24
027.jpg	11	(1) เครื่องพิมพ์เลเซอร์ หรือ	319	832	270	36
027.jpg	11	เถ ขาวดํา	591	838	122	29
027.jpg	12	ชนิด	357	897	54	28
027.jpg	12	60 แบบที่	412	890	170	35
027.jpg	12	1 (28 หน้า/นาที)	583	895	174	31
027.jpg	12	1	764	901	20	23
027.jpg	12	เครื่อง	785	890	67	35
027.jpg	12	8900	1247	907	69	27
027.jpg	12	บาท	1327	910	54	21
027.jpg	13	05101-5	129	959	98	24
027.jpg	13	(2) เครื่องปรับอากาศ แบบแยกส่วน (ราคารวมค่าติดตั้ง)	319	946	545	38
027.jpg	14	แบบตั้งพื้นหรือแบบแขวน (ระบบ 1	359	1004	428	38
027.jpg	15	ขนาด	357	1078	66	21
027.jpg	15	13,000 978	425	1069	132	38
