filename	line_num	text	x	y	width	height	page
65042.pdf	0	87	901	117	37	22	25
65042.pdf	1	รายละเอียดงบประมาณจําแนกตามงบรายจ่าย	317	230	434	29	25
65042.pdf	2	งาน: อํานวยการและบริหารสํานักงานเขต	318	282	391	28	25
65042.pdf	2	13075456	1239	287	124	26	25
65042.pdf	2	บาท	1370	290	53	19	25
65042.pdf	3	1. งบบุคลากร	319	340	140	29	25
65042.pdf	3	8025200	1099	340	113	25	25
65042.pdf	3	บาท	1218	342	53	19	25
65042.pdf	4	1.1 เงินเดือน	347	380	130	29	25
65042.pdf	4	5731680	1099	384	113	26	25
65042.pdf	4	บาท	1218	386	53	19	25
65042.pdf	5	01101-1	404	433	90	22	25
65042.pdf	5	อัตราเดิม	513	427	91	28	25
65042.pdf	5	15 อัตรา	605	427	88	28	25
65042.pdf	5	5053440	1257	434	107	26	25
65042.pdf	5	บาท	1378	437	49	20	25
65042.pdf	6	01102-1	404	483	90	23	25
65042.pdf	6	เงินเลื่อนขั้น	514	471	117	35	25
65042.pdf	6	303200	1275	485	89	26	25
65042.pdf	6	บาท	1378	488	49	20	25
65042.pdf	7	01106-1	404	534	90	23	25
65042.pdf	7	เงินประจําตําแหน่ง	514	530	178	27	25
65042.pdf	7	167680	1277	536	87	26	25
65042.pdf	7	บาท	1378	539	49	20	25
65042.pdf	8	01107-1	404	586	90	23	25
65042.pdf	8	เงินค่าตอบแทนรายเดือนของข้าราชการ	514	580	360	29	25
65042.pdf	8	201280	1275	587	89	26	25
65042.pdf	8	บาท	1378	590	49	20	25
65042.pdf	9	01108-1	404	638	90	22	25
65042.pdf	9	เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ	514	627	388	33	25
65042.pdf	9	4720	1300	639	64	26	25
65042.pdf	9	บาท	1378	642	49	20	25
65042.pdf	10	01109-1	404	689	90	22	25
65042.pdf	10	เงินช่วยเหลือค่าครองชีพของข้าราชการ	514	682	356	29	25
65042.pdf	10	1360	1302	690	62	26	25
65042.pdf	10	บาท	1378	693	49	20	25
65042.pdf	11	1.2 ค่าจ้างประจํา	339	733	171	28	25
65042.pdf	11	1315440	1100	736	112	26	25
65042.pdf	11	บาท	1218	741	53	19	25
65042.pdf	12	01201-1	397	784	90	23	25
65042.pdf	12	อัตราเดิม 6 อัตรา	506	779	167	28	25
65042.pdf	12	1076960	1259	785	105	26	25
65042.pdf	12	บาท	1371	788	49	20	25
65042.pdf	13	01202-1	397	835	90	23	25
65042.pdf	13	เงินเพิ่มค่าจ้างประจํา	507	825	195	33	25
65042.pdf	13	81360	1288	837	76	26	25
65042.pdf	13	บาท	1371	840	49	20	25
65042.pdf	14	01205-1	397	886	90	23	25
65042.pdf	14	เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา	507	876	415	40	25
65042.pdf	14	89600	1288	888	76	26	25
65042.pdf	14	บาท	1371	891	49	20	25
65042.pdf	15	01206-1	397	937	90	23	25
65042.pdf	15	เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา	507	931	383	36	25
65042.pdf	15	67520	1288	939	76	26	25
65042.pdf	15	บาท	1371	942	49	20	25
65042.pdf	16	1.3 ค่าจ้างชั่วคราว	339	977	185	33	25
65042.pdf	16	921600	1118	986	94	26	25
65042.pdf	16	บาท	1218	990	53	19	25
65042.pdf	17	02101-1	397	1033	90	23	25
65042.pdf	17	ค่าจ้างชั่วคราว 6 อัตรา	507	1023	212	33	25
65042.pdf	17	687840	1275	1035	89	26	25
65042.pdf	17	บาท	1371	1038	49	20	25
65042.pdf	18	02102-1	397	1084	90	23	25
65042.pdf	18	เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว	507	1074	424	40	25
65042.pdf	18	120480	1277	1086	87	26	25
65042.pdf	18	บาท	1371	1089	49	20	25
65042.pdf	19	02103-1	397	1135	90	23	25
65042.pdf	19	เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว	507	1125	392	40	25
65042.pdf	19	113280	1277	1137	87	26	25
65042.pdf	19	บาท	1371	1140	49	20	25
65042.pdf	20	1.4 ค่าตอบแทน ใช้สอยและวัสดุ| |	339	1174	334	41	25
65042.pdf	20	56480	1131	1184	81	26	25
65042.pdf	20	บาท	1218	1188	53	19	25
65042.pdf	21	03217-1	397	1231	90	23	25
65042.pdf	21	เงินสมทบกองทุนประกันสังคม	507	1226	278	36	25
65042.pdf	21	46080	1288	1233	76	26	25
65042.pdf	21	บาท	1371	1236	49	20	25
65042.pdf	22	03611-1	397	1282	90	23	25
65042.pdf	22	ค่าเครื่องแต่งกาย	507	1272	160	33	25
65042.pdf	22	10400	1290	1284	74	26	25
65042.pdf	22	บาท	1371	1287	49	20	25
65042.pdf	23	2. งบดําเนินงาน	318	1382	161	28	25
65042.pdf	23	4247196	1099	1387	112	26	25
65042.pdf	23	บาท	1218	1390	53	19	25
65042.pdf	24	2.1 ค่าตอบแทน ใช้สอยและวัสดุ	338	1432	312	36	25
65042.pdf	24	1648796	1100	1437	111	26	25
65042.pdf	24	บาท	1218	1441	53	19	25
65042.pdf	25	2.1.1 ค่าตอบแทน	378	1481	180	27	25
65042.pdf	25	310080	1117	1485	95	25	25
65042.pdf	25	บาท	1218	1488	53	19	25
65042.pdf	26	ค่าอาหารทําการนอกเวลา	437	1527	236	27	25
65042.pdf	27	2.1.2 ค่าใช้สอย	378	1575	157	29	25
65042.pdf	27	581000	1118	1580	94	25	25
65042.pdf	27	บาท	1218	1584	53	19	25
65042.pdf	28	ส่วนใหญ่เป็นค่าบํารุงรักษาซ่อมแซมเครื่องปรับอากาศ	437	1617	481	41	25
65042.pdf	29	ค่าจ้างเหมาบริการเป็นรายบุคคลฯ ค่าซ่อมแซมยานพาหนะ ฯลฯ	437	1671	573	38	25
65042.pdf	30	2.1.3 ค่าวัสดุ	378	1722	134	35	25
65042.pdf	30	757716	1118	1726	93	26	25
65042.pdf	30	บาท	1218	1730	53	19	25
65042.pdf	31	ส่วนใหญ่เป็นค่าวัสดุน้ามันเชื่อ เพลิงและน้้ามันหล่อลื่น	437	1761	477	43	25
65042.pdf	32	ค่าวัสดุไฟฟ้า ประปา งานบ้าน งานครัว และงานสวน	437	1819	470	37	25
65042.pdf	33	ค่าวัสดุสํานักงาน ฯลฯ	437	1871	204	36	25
65042.pdf	0	88	901	117	36	21	26
