filename	line_num	text	x	y	width	height
029.jpg	0	390	776	107	49	26
029.jpg	1	งานบริหารทั่วไปและบริหารการคลัง	154	284	348	37
029.jpg	1	6,259,500	1239	295	115	29
029.jpg	1	บาท	1396	297	54	24
029.jpg	2	1.งบบุคลากร	156	342	143	33
029.jpg	2	5,084,100	1072	341	114	30
029.jpg	2	บาท	1252	344	53	24
029.jpg	3	1.1 เงินเดือน	156	381	132	32
029.jpg	3	4,666,200	1072	385	114	30
029.jpg	3	บาท	1252	389	53	24
029.jpg	4	01101-1	272	431	92	25
029.jpg	4	อัตราเดิม 15 อัตรา	405	425	184	32
029.jpg	4	4,362,400	1245	433	110	29
029.jpg	4	บาท	1398	436	51	23
029.jpg	5	01102-1	272	478	92	25
029.jpg	5	เงินเลื่อนขั้น	406	466	120	38
029.jpg	5	261,800	1263	480	92	29
029.jpg	5	บาท	1398	483	51	23
029.jpg	6	011071	272	525	92	26
029.jpg	6	เงินค่าตอบแทนรายเดือนของข้าราชการ	406	519	372	32
029.jpg	6	42,000	1276	527	79	29
029.jpg	6	บาท	1398	530	51	23
029.jpg	7	1.2 ค่าจ้างประจํา[ ]	156	562	199	37
029.jpg	7	326,400	1091	570	95	30
029.jpg	7	บาท	1252	575	53	24
029.jpg	8	01201-1	272	617	92	25
029.jpg	8	อัตราเดิม 2 อัตรา	405	611	172	32
029.jpg	8	282,400	1263	619	92	29
029.jpg	8	บาท	1398	622	51	23
029.jpg	9	01202-1	272	664	92	25
029.jpg	9	เงินเพิ่มค่าจ้างประจํา	406	653	200	37
029.jpg	9	17,000	1278	666	77	29
029.jpg	9	บาท	1398	669	51	23
029.jpg	10	01205-1	272	711	92	26
029.jpg	10	เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา	406	700	428	45
029.jpg	10	17,000	1278	713	77	29
029.jpg	10	บาท	1398	716	51	23
029.jpg	11	01206-1	272	757	92	26
029.jpg	11	เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา	406	752	395	40
029.jpg	11	10,000	1278	760	77	29
029.jpg	11	บาท	1398	763	51	23
029.jpg	12	1.3 ค่าตอบแทน ใช้สอยและวัสดุ| ]	156	795	341	44
029.jpg	12	91,500	1104	804	82	29
029.jpg	12	บาท	1252	808	53	24
029.jpg	13	03293-1	272	850	92	26
029.jpg	13	เงินสมทบเข้ากองทุนเงินทดแทน	406	844	304	40
029.jpg	13	88,900	1276	852	79	29
029.jpg	13	บาท	1398	855	51	23
029.jpg	14	03611-1	272	896	92	26
029.jpg	14	ค่าเครื่องแต่งกาย	405	886	169	37
029.jpg	14	2.600	1288	899	67	29
029.jpg	14	บาท	1398	902	51	23
029.jpg	15	2. งบดําเนินงาน	154	988	165	31
029.jpg	15	1,175,400	1074	992	112	30
029.jpg	15	บาท	1252	995	53	24
029.jpg	16	2.1 ค่าตอบแทน ใช้สอยและวัสดุ	154	1033	320	39
029.jpg	16	1,067,400	1074	1037	112	30
029.jpg	16	บาท	1252	1041	53	24
029.jpg	17	2.1.1 ค่าตอบแทน	154	1081	184	30
029.jpg	17	310,900	1091	1084	95	29
029.jpg	17	บาท	1252	1087	53	24
029.jpg	18	ค่าอาหารทําการนอกเวลา	207	1125	245	31
029.jpg	19	2.1.2 ค่าใช้สอย	154	1170	161	32
029.jpg	19	223,800	1091	1175	95	29
029.jpg	19	บาท	1252	1178	53	24
029.jpg	20	ค่าซ่อมแซมยานพาหนะ	215	1215	225	31
029.jpg	21	ค่าซ่อมแซมครุภัณฑ์	215	1258	194	41
029.jpg	22	ค่าจ้างเหมาบริการเป็นรายบุคคลจ้างเจ้าหน้าที่เพื่อปฏิบัติงานที่ฝ่ายการคลัง	215	1301	692	45
028.jpg	0	389	776	107	49	26
028.jpg	1	งานบริหารทั่วไปและบริการทะเบียน	154	237	349	37
028.jpg	1	8,983,000	1239	248	115	29
028.jpg	1	บาท	1396	250	54	24
028.jpg	2	1.งบบุคลากร	156	295	143	33
028.jpg	2	7,488,200	1072	294	114	30
028.jpg	2	บาท	1252	297	53	24
028.jpg	3	1.1 เงินเดือน	164	334	132	32
028.jpg	3	6,915,200	1072	339	114	29
028.jpg	3	บาท	1252	342	53	24
028.jpg	4	01101-1	279	384	92	25
028.jpg	4	อัตราเดิม 21 อัตรา	413	378	184	32
028.jpg	4	6,493,800	1245	386	110	29
028.jpg	4	บาท	1398	389	51	23
028.jpg	5	01102-1	279	431	92	25
028.jpg	5	เงินเลื่อนขั้น	414	419	120	38
028.jpg	5	379.400	1263	433	92	29
028.jpg	5	บาท	1398	436	51	23
028.jpg	6	01107-1	279	478	92	26
028.jpg	6	เงินค่าตอบแทนรายเดือนของข้าราชการ	414	472	372	32
028.jpg	6	42,000	1276	480	79	29
028.jpg	6	บาท	1398	483	51	23
028.jpg	7	1.2 ค่าจ้างประจํา[ ]	156	515	199	37
028.jpg	7	570,400	1091	524	95	30
028.jpg	7	บาท	1252	528	53	24
028.jpg	8	01201-1	272	570	92	25
028.jpg	8	อัตราเดิม 2 อัตรา	405	564	172	32
028.jpg	8	539,000	1263	572	92	29
028.jpg	8	บาท	1398	575	51	23
028.jpg	9	01202-1	272	617	92	25
028.jpg	9	เงินเพิ่มค่าจ้างประจํา	406	606	200	37
028.jpg	9	31,400	1276	619	79	29
028.jpg	9	บาท	1398	622	51	23
028.jpg	10	357 7 งกาย	156	654	418	81
028.jpg	10	2,600	1117	664	69	29
028.jpg	10	บาท	1252	667	53	24
028.jpg	11	03611-1	272	709	92	26
028.jpg	11	2.600	1288	711	67	29
028.jpg	11	บาท	1398	714	51	23
028.jpg	12	2. งบดําเนินงาน	154	801	165	31
028.jpg	12	1,494,800	1074	805	112	30
028.jpg	12	บาท	1252	808	53	24
028.jpg	13	ค่าตอบแทน ใช้สอยและวัสดุ	154	846	280	39
028.jpg	13	1,494,800	1074	850	112	30
028.jpg	13	บาท	1252	854	53	24
028.jpg	14	2.1 ค่าตอบแทน	154	894	165	30
028.jpg	14	446,900	1091	895	95	30
028.jpg	14	บาท	1252	900	53	24
028.jpg	15	ค่าอาหารทําการนอกเวลา	207	937	245	31
028.jpg	16	2.2 ค่าใช้สอย	154	982	142	32
028.jpg	16	390,200	1091	987	95	29
028.jpg	16	บาท	1252	990	53	24
028.jpg	17	ค่าซ่อมแซมยานพาหนะ	207	1027	225	31
028.jpg	18	ค่าซ่อมแซมครุภัณฑ์	207	1072	194	41
028.jpg	19	ค่าจ้างเหมาบริการเป็นรายบุคคลเพื่อช่วยปฏิบัติงานฝ่ายทะเบียน	207	1113	599	45
028.jpg	20	2.3 ค่าวัสดุ	154	1163	118	39
028.jpg	20	657,700	1091	1168	95	29
028.jpg	20	บาท	1252	1171	53	24
028.jpg	21	6	215	1203	375	46
028.jpg	22	ค่าวัสดุยานพาหนะ	215	1254	181	40
028.jpg	23	ค่าวัสดุสํานักงาน	215	1299	164	40
028.jpg	24	ค่าชุดแต่งกายให้แก่เจ้าหน้าที่ประจําศูนย์บริหารราชการ ฉับไวใสสะอาด	215	1340	659	45
028.jpg	25	.8 5 8 6เลละ : 856)	213	1394	306	33
038.jpg	0	399	776	107	49	26
038.jpg	1	งานตรวจและบังคับใช้กฎหมาย	154	242	305	39
038.jpg	1	13,372,740	1228	247	126	30
038.jpg	1	บาท	1396	250	54	24
038.jpg	2	1.งบบุคลากร	156	295	143	33
038.jpg	2	10,245,960	1060	294	126	30
038.jpg	2	บาท	1252	297	53	24
038.jpg	3	1.1 เงินเดือน	164	334	132	32
038.jpg	3	3,244,860	1072	338	114	30
038.jpg	3	บาท	1252	342	53	24
038.jpg	4	01101-1	279	384	92	25
038.jpg	4	อัตราเดิม 8 อัตรา	413	378	171	32
038.jpg	4	3,037,440	1245	386	110	29
038.jpg	4	บาท	1398	389	51	23
038.jpg	5	01102-1	279	431	92	25
038.jpg	5	เงินเลื่อนขั้น	414	419	120	38
038.jpg	5	182,220	1265	433	90	29
038.jpg	5	บาท	1398	436	51	23
038.jpg	6	01107-1	279	478	92	26
038.jpg	6	เงินค่าตอบแทนรายเดือนของข้าราชการ	414	472	372	32
038.jpg	6	25,200	1276	480	79	29
038.jpg	6	บาท	1398	483	51	23
038.jpg	7	1.2 ค่าจ้างประจํา[ ]	156	515	199	37
038.jpg	7	6,207,780	1072	525	114	29
038.jpg	7	บาท	1252	528	53	24
038.jpg	8	01201-1	272	570	92	25
038.jpg	8	อัตราเดิม 26 อัตรา	405	564	184	32
038.jpg	8	5,821,800	1245	572	110	29
038.jpg	8	บาท	1398	575	51	23
038.jpg	9	01202-1	272	617	92	25
038.jpg	9	เงินเพิ่มค่าจ้างประจํา	406	606	200	37
038.jpg	9	349,320	1263	619	92	29
038.jpg	9	บาท	1398	622	51	23
038.jpg	10	01205-1	272	664	92	26
038.jpg	10	เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา	406	653	428	45
038.jpg	10	27,360	1276	666	79	29
038.jpg	10	บาท	1398	669	51	23
038.jpg	11	01206-1	272	711	92	26
038.jpg	11	เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา	406	705	395	40
038.jpg	11	9.300	1288	713	67	29
038.jpg	11	บาท	1398	716	51	23
038.jpg	12	1.3 ค่าจ้างชั่วคราว[ ]	156	748	213	37
038.jpg	12	604,800	1091	756	95	30
