,job,L1,L2,amount,L3,L4
0,งานอํานวยการและบริหารสํานักงานเขต,"1.1 เงินเดือน 2,991,480 บาท","01101-1 อัตราเดิม 7 อัตรา 2,610,000 บาท","2,610,000",,
1,งานอํานวยการและบริหารสํานักงานเขต,"1.1 เงินเดือน 2,991,480 บาท","01102-1 เงินเลื่อนขั้น 156,600 บาท","156,600",,
2,งานอํานวยการและบริหารสํานักงานเขต,"1.1 เงินเดือน 2,991,480 บาท","01106-1 เงินประจําตําแหน่ง 101,760 บาท","101,760",,
3,งานอํานวยการและบริหารสํานักงานเขต,"1.1 เงินเดือน 2,991,480 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 118,560 บาท","118,560",,
4,งานอํานวยการและบริหารสํานักงานเขต,"1.1 เงินเดือน 2,991,480 บาท","01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 3,520 บาท","3,520",,
5,งานอํานวยการและบริหารสํานักงานเขต,"1.1 เงินเดือน 2,991,480 บาท",01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 1.040 บาท,1.040,,
6,งานอํานวยการและบริหารสํานักงานเขต,"1.2 ค่าจ้างประจํา[ ] 564,680 บาท","01201-1 อัตราเดิม 2 อัตรา 503,400 บาท","503,400",,
7,งานอํานวยการและบริหารสํานักงานเขต,"1.2 ค่าจ้างประจํา[ ] 564,680 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 30,200 บาท","30,200",,
8,งานอํานวยการและบริหารสํานักงานเขต,"1.2 ค่าจ้างประจํา[ ] 564,680 บาท","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 19,200 บาท","19,200",,
9,งานอํานวยการและบริหารสํานักงานเขต,"1.2 ค่าจ้างประจํา[ ] 564,680 บาท","01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 11,880 บาท","11,880",,
10,งานอํานวยการและบริหารสํานักงานเขต,"1.3 ค่าจ้างชั่วคราว[ ] 115,200 บาท","02101-1 ค่าจ้างชั่วคราว 1 อัตรา 90,240 บาท","90,240",,
11,งานอํานวยการและบริหารสํานักงานเขต,"1.3 ค่าจ้างชั่วคราว[ ] 115,200 บาท","02102-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว 5,760 บาท","5,760",,
12,งานอํานวยการและบริหารสํานักงานเขต,"1.3 ค่าจ้างชั่วคราว[ ] 115,200 บาท","02103-1 เงินช่วยเหลือค่าครองซีพของลูกจ้างชั่วคราว 19,200 บาท","19,200",,
13,งานอํานวยการและบริหารสํานักงานเขต,"1.4 ค่าตอบแทน ใช้สอยและวัสดุ| ] 12,260 บาท","03611-1 ค่าเครื่องแต่งกาย 6,500 บาท","6,500",,
14,งานอํานวยการและบริหารสํานักงานเขต,"2. งบดําเนินงาน 5,620,050 บาท","2.1 ค่าตอบแทน ใช้สอยและวัสดุ 4,192,850 บาท","349,650","2.1.1 ค่าตอบแทน 349,650 บาท",
