text	x	y	width	height	line_num	filename	page
งานครัว และงานสวน ฯลฯ	180	1936	256	30	0	65075.pdf	27
- พัดลมดูดอากาศ ขนาด 8 นิ้ว พร้อมติดตั้ง 2 เครื่อง	375	1715	490	47	0	65075.pdf	28
งานครัว และงานสวน ฯลฯ	180	1936	256	30	0	65075.pdf	29
ป้องกันภัยฝ่ายพลเรือน	405	658	221	31	0	65075.pdf	30
352,000	1263	663	94	29	0	65075.pdf	30
บาท	1401	666	51	22	0	65075.pdf	30
ค่าวัสดุน้ำมันเชือเพลิงและน่ามันหล่อลิน ฯลฯ	188	1555	427	47	0	65075.pdf	31
ค่าโทรศัพท์ ค่าไปรษณีย์	165	1721	233	32	0	65075.pdf	32
1 เครื่อง	377	493	85	36	0	65075.pdf	33
22,000	1276	504	81	29	0	65075.pdf	33
บาท	1401	507	51	22	0	65075.pdf	33
ค่าไปรษณีย์	165	1721	120	32	0	65075.pdf	34
ค่าน้ำประปา	165	1928	127	38	0	65075.pdf	35
ค่าน้ำประปา	165	1928	127	38	0	65075.pdf	36
ค่าเครื่องแบบชุดปฏิบัติงาน ค่าวัสดุป้องกันอุบัติภัย ฯลฯง	180	1930	518	45	0	65075.pdf	37
ค่าน้ำประปา	165	331	127	38	0	65075.pdf	38
ค่าวัสดุยานพาหนะ ฯลฯ	180	1936	233	39	0	65075.pdf	39
07199-1	240	504	95	26	0	65075.pdf	40
ค่าใช้จ่ายในการบํารุงรักษา ปรับปรุงและเพิ่มพืนทีสีเขียว	375	491	522	47	0	65075.pdf	40
800,000	1263	504	94	29	0	65075.pdf	40
บาท	1401	507	51	22	0	65075.pdf	40
ค่าวัสดุสํานักงาน ค่าวัสดุยานพาหนะ ฯลฯ	180	1829	395	39	0	65075.pdf	41
ค่าวัสดุสํานักงาน ค่าวัสดุยานพาหนะ ฯลฯ	180	1829	395	39	0	65075.pdf	42
ค่าวัสดุสํานักงาน ค่าวัสดุยานพาหนะ ฯลฯ	180	1829	395	39	0	65075.pdf	43
05149-3	240	770	97	26	0	65075.pdf	44
(3) เก้าอีทํางานระดับชํานาญการพิเศษ ,อํานวยการต้น 1 ตัว	375	757	561	44	0	65075.pdf	44
5,400	1289	779	68	29	0	65075.pdf	44
บาท	1401	782	51	22	0	65075.pdf	44
ค่าวัสดุสํานักงาน ค่าวัสดุยานพาหนะ ฯลฯ	180	1829	395	39	0	65075.pdf	45
ค่าวัสดุก่อสร้าง ค่าวัสดุน้ำมันเชื้อเพลิงและน่ามันหล่อลืน ฯลฯ	180	1874	573	47	0	65075.pdf	46
ของประชาชน	375	1086	141	28	0	65075.pdf	47
2,500,000	1244	1089	113	29	0	65075.pdf	47
บาท	1401	1092	51	22	0	65075.pdf	47
ค่าวัสดุยานพาหนะ ค่าวัสดุอุปกรณ์ทําความสะอาดท่อระบายน้ำ ฯลฯ	180	1768	638	47	0	65075.pdf	48
05199-14	240	504	110	26	0	65075.pdf	49
(2) เต็นท์ผ้าใบขนาด 4x8 เมตร (ทรงโค้ง) 5 หลัง	375	497	455	34	0	65075.pdf	49
140,000	1265	504	92	29	0	65075.pdf	49
บาท	1401	507	51	22	0	65075.pdf	49
ค่าวัสดุสํานักงาน ค่าวัสดุยานพาหนะ ฯลฯ	180	1882	395	39	0	65075.pdf	50
แบบที่ 1 (28 หน้า/นาที) 1 เครื่อง	406	866	320	38	0	65075.pdf	51
8,900	1289	885	68	29	0	65075.pdf	51
บาท	1401	888	51	22	0	65075.pdf	51
ค่าวัสดุสํานักงาน ค่าวัสดุยานพาหนะ ฯลฯ	180	1936	395	39	0	65075.pdf	52
วัฒนธรรมประเพณี	419	1349	189	31	0	65075.pdf	53
216,300	1263	1364	94	29	0	65075.pdf	53
บาท	1401	1367	51	22	0	65075.pdf	53
ค่าวัสดุสํานักงาน ค่าวัสดุอุปกรณ์คอมพิวเตอร์ ฯลฯ	195	1508	474	41	0	65075.pdf	54
ผ่าวัสดุสําน์กงาน ฯลฯanit	195	1510	213	39	0	65075.pdf	55
05199-1	240	1887	95	26	0	65075.pdf	56
เครื่องพ่นสารเคมี ชนิดหมอกควัน 3 เครื่อง	376	1876	401	37	0	65075.pdf	56
255,000	1263	1887	94	29	0	65075.pdf	56
บาท	1401	1890	51	22	0	65075.pdf	56
ค่าวัสดุสํานักงาน ค่าว์สดุยานพาหนะ ฯลฯ	188	1882	394	39	0	65075.pdf	57
20 แผ่นต่อนาที 1 เครื่อง	406	706	239	36	0	65075.pdf	58
87,500	1276	717	81	29	0	65075.pdf	58
บาท	1401	720	51	22	0	65075.pdf	58
ค่าซ่อมแซมโรงเรียน ฯลฯ	188	1828	243	31	0	65075.pdf	59
