text,x,y,w,h,filename,line_num
,906,96,37,25,023.jpg,0
2.1.3 ค่าวัสดุ,377,240,135,38,023.jpg,1
"853,500",1163,245,94,28,023.jpg,1
บาท,1262,248,53,22,023.jpg,1
WP wy  al  Ss  aส่วนใหญ่เป็นค่าวัสดุเครืองคอมพิวเตอร์,546,283,354,43,023.jpg,2
ค่าวัสดุไฟฟ้า ประปา งานบ้าน งานครัว และงานสวน,546,337,472,39,023.jpg,3
iw ก  a    ow  ialคาว์สดุนามนเช้อเพลงและนามนหลอลน,546,380,363,45,023.jpg,4
าวัสดุสํานักงาน ฯลฯans,546,437,204,37,023.jpg,5
2.2 ค่าสาธารณูปโภค,337,485,207,39,023.jpg,6
"1574,150",1146,489,111,29,023.jpg,6
บาท,1262,493,53,22,023.jpg,6
ค่าไฟฟ้า,546,533,83,31,023.jpg,7
ค่านําประปา,546,576,122,37,023.jpg,8
ค่าโทรศัพท์,546,631,112,31,023.jpg,9
3. งบลงทุน,317,737,118,32,023.jpg,10
"142,320",1165,736,92,29,023.jpg,10
บาท,1262,739,53,22,023.jpg,10
"1๑สมี,นและสิงก่อสร้าง",340,775,300,43,023.jpg,11
"142,320",1165,784,92,29,023.jpg,11
บาท,1262,788,53,22,023.jpg,11
,340,828,114,39,023.jpg,12
"142,320",1165,833,92,29,023.jpg,12
บาท,1262,837,53,22,023.jpg,12
05101-3,424,883,93,25,023.jpg,13
"al   ซ,          1        a &(1) เครื่องปรับอากาศ แบบแยกส่วน (ราคารวมค่าติดตัง)",546,870,504,39,023.jpg,13
"a   wo                      alแบบติดผนัง ขนาด 18,000 diy 1 เครื่อง",576,922,379,43,023.jpg,14
"22,600",1333,933,77,27,023.jpg,14
บาท,1416,935,50,22,023.jpg,14
,424,982,92,24,023.jpg,15
"al     =      ow,    oy(2) เครื่องคอมพิวเตอร์ สําหรับงานสํานักงาน",546,971,403,37,023.jpg,15
(จอแสดงภาพขนาดไม่น็อยกว่า 19 นิว),575,1018,354,39,023.jpg,16
พร้อมโปรแกรมระบบปฏิบัติการ (๐5),575,1074,343,37,023.jpg,17
ฏหมายญูEsทธิถูกต้องตามกแบบ GGWA ที่มีลิขสิ,576,1118,401,43,023.jpg,18
al2เครอง,575,1167,84,35,023.jpg,19
"51,020",1333,1179,77,27,023.jpg,19
บาท,1416,1181,50,22,023.jpg,19
,424,1227,104,24,023.jpg,20
(3) ตู้เหล็ก แบบ 4 ลินชัก 3 ตู้,546,1214,277,45,023.jpg,20
"20,700",1333,1228,77,27,023.jpg,20
บาท,1416,1230,50,22,023.jpg,20
05198-4,424,1275,93,25,023.jpg,21
